goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
Both Gerudo Valley HPs,6,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Water Temple,11,0,0,0.0,0.0,nan,0,0.0
6 Maps,6,0,0,0.0,0.0,nan,0,0.0
Milk,7,0,0,0.0,0.0,nan,0,0.0
Frog's HP,3,0,0,0.0,0.0,nan,0,0.0
Bronze Gauntlets,13,0,0,0.0,0.0,nan,0,0.0
3 Lake Hylia Skulltulas,2,0,0,0.0,0.0,nan,0,0.0
All 4 Child Skulltulas in Zora's Domain Area,5,0,0,0.0,0.0,nan,0,0.0
All 8 Zora's Domain area Skulltulas,16,0,0,0.0,0.0,nan,0,0.0
3 Songs,4,0,0,0.0,0.0,nan,0,0.0
